date,code,open,high,low,close,volume,amount,turn,pctChg,adjustflag
2015-07-23,sh.600519,172.8645440700,174.9342558000,171.1040996100,174.0936832200,6474810,1411411696.0000,0.515429,1.109900,2
2015-07-24,sh.600519,174.8549565000,177.3846041700,173.4672187500,173.8319955300,5739009,1271122144.0000,0.456856,-0.150300,2
2015-07-27,sh.600519,172.0794810000,175.4893509000,159.3915930000,159.8039493600,7694415,1628465536.0000,0.612516,-8.069900,2
2015-07-28,sh.600519,158.4875809800,166.0844539200,156.6002576400,163.2217491900,8670357,1766521472.0000,0.690206,2.138700,2
2015-07-29,sh.600519,164.7680855400,166.5285300000,160.2876750900,164.7363658200,6650743,1364157584.0000,0.529434,0.928000,2
2015-07-30,sh.600519,165.6007281900,165.6007281900,162.6428643000,163.3248382800,4113400,853284368.0000,0.327448,-0.856800,2
2015-07-31,sh.600519,163.9116531000,164.0940414900,160.9775790000,164.0147421900,4073664,835374144.0000,0.324285,0.422400,2
2015-08-03,sh.600519,162.5635650000,166.5206000700,160.9775790000,166.1796130800,5455303,1117796048.0000,0.434271,1.319900,2
2015-08-04,sh.600519,165.9417151800,169.6846421400,165.9417151800,168.0907262100,5953396,1260302960.0000,0.473922,1.150000,2
2015-08-05,sh.600519,168.8519994900,169.5815530500,164.1019714200,164.3002196700,4314385,907597376.0000,0.343448,-2.255000,2
2015-08-06,sh.600519,163.5389463900,164.5460475000,160.9775790000,162.5318452800,3924980,805358560.0000,0.312449,-1.076300,2
2015-08-07,sh.600519,164.5381175700,165.4183398000,163.0393608000,164.0940414900,3952134,819022560.0000,0.314611,0.961200,2
2015-08-10,sh.600519,164.1574809300,168.9075090000,162.6666540900,168.3524139000,5649643,1182083552.0000,0.449742,2.595100,2
2015-08-11,sh.600519,168.3524139000,168.4396431300,166.5364599300,167.1232747500,5089705,1076261232.0000,0.405167,-0.730100,2
2015-08-12,sh.600519,166.5206000700,169.9304699700,165.5372887500,166.1082437100,4582434,968610592.0000,0.364786,-0.607400,2
2015-08-13,sh.600519,167.7180195000,167.7180195000,163.3565580000,166.1399634300,3518025,733202192.0000,0.280053,0.019100,2
2015-08-14,sh.600519,166.9250265000,167.6387202000,165.9337852500,166.5126701400,3066690,645849792.0000,0.244125,0.224300,2
2015-08-17,sh.600519,164.9584038600,165.5927982600,161.7705720000,163.5310164600,5385832,1108212048.0000,0.428741,-1.790600,2
2015-08-18,sh.600519,164.1336911400,164.5460475000,158.8761475500,159.4391725800,5128552,1047896512.0000,0.408260,-2.502200,2
2015-08-19,sh.600519,158.4003517500,160.3114648800,157.1553527400,159.8832486600,5026180,1004394400.0000,0.400111,0.278500,2
2015-08-20,sh.600519,159.2567841900,159.3915930000,154.5543357000,154.6891445100,3964503,788892224.0000,0.315595,-3.248700,2
2015-08-21,sh.600519,151.8740193600,154.5226159800,147.5918571600,147.7583856900,7562061,1433277968.0000,0.601980,-4.480400,2
2015-08-24,sh.600519,143.5317330000,143.9282295000,133.3814226000,134.5233325200,8981284,1559048768.0000,0.714958,-8.957200,2
2015-08-25,sh.600519,132.7946077800,144.7291524300,131.7954366000,140.0346338700,12308058,2165823584.0000,0.979787,4.096900,2
2015-08-26,sh.600519,140.1694426800,149.4791805000,138.7737750000,145.8155528400,9157253,1663612848.0000,0.728966,4.128200,2
2015-08-27,sh.600519,150.6686700000,158.5193007000,146.6164757700,156.2751305100,8705201,1663248880.0000,0.692980,7.173200,2
2015-08-28,sh.600519,154.6336350000,154.8636029700,148.3927800900,152.7701014500,8992583,1720106864.0000,0.715857,-2.242900,2
2015-08-31,sh.600519,150.1452946200,155.0301315000,146.8464437400,154.9270424100,6273019,1198185024.0000,0.499366,1.411900,2
2015-09-01,sh.600519,152.1119172600,154.6336350000,149.0826840000,154.1340494100,8743269,1688392992.0000,0.696011,-0.511800,2
2015-09-02,sh.600519,150.7558992300,154.6336350000,150.0342756000,154.3243677300,10694546,2052413264.0000,0.851343,0.123500,2
2015-09-07,sh.600519,152.7304518000,153.8406420000,149.5981294500,149.6457090300,3221642,615819760.0000,0.256460,-3.031700,2
2015-09-08,sh.600519,149.4474607800,151.0413767100,146.7037050000,150.1294347600,3309858,621914336.0000,0.263482,0.323200,2
2015-09-09,sh.600519,150.7796890200,153.7375529100,150.7796890200,152.1436369800,3521516,676337504.0000,0.280331,1.341600,2
2015-09-10,sh.600519,150.9700073400,153.2855469000,149.9866960200,153.2141775300,2685248,514766384.0000,0.213760,0.703600,2
2015-09-11,sh.600519,152.1594968400,153.9199413000,151.5013126500,152.9762796300,1693214,326277632.0000,0.134789,-0.155300,2
2015-09-14,sh.600519,152.5956429900,160.8189804000,149.0033847000,160.6048722900,8617555,1678995776.0000,0.686003,4.986800,2
2015-09-15,sh.600519,157.0205439300,160.2004458600,154.7287941600,160.1845860000,5188434,1035493472.0000,0.413027,-0.261700,2
2015-09-16,sh.600519,158.6065299300,166.1637532200,156.7985058900,162.2067181500,3719802,753188784.0000,0.296116,1.262400,2
2015-09-17,sh.600519,160.6603818000,163.1979594000,156.7033467300,157.0126140000,2642300,533638544.0000,0.210341,-3.202200,2
2015-09-18,sh.600519,157.4884098000,159.3043637700,157.0126140000,158.1465939900,1564276,312040976.0000,0.124525,0.722200,2
2015-09-21,sh.600519,157.0205439300,159.1536951000,157.0126140000,158.0435049000,1652767,329196736.0000,0.131569,-0.065200,2
2015-09-22,sh.600519,159.2092046100,159.5343317400,157.7897471400,158.0197151100,1645740,329161936.0000,0.131010,-0.015100,2
2015-09-23,sh.600519,156.3385699500,157.7976770700,153.9199413000,154.4115969600,2234432,438412336.0000,0.177873,-2.283300,2
2015-09-24,sh.600519,155.2680294000,155.6486660400,152.8890504000,153.8406420000,1388674,269653184.0000,0.110546,-0.369800,2
2015-09-25,sh.600519,153.8327120700,154.5543357000,150.2721735000,153.4124257800,2445597,470411104.0000,0.194682,-0.278300,2
2015-09-28,sh.600519,151.8422996400,152.4925539000,150.0580653900,151.7630003400,1234110,235369401.0000,0.098242,-1.075200,2
2015-09-29,sh.600519,150.3118231500,151.7550704100,149.3205819000,150.8034788100,1840982,348759184.0000,0.146552,-0.632300,2
2015-09-30,sh.600519,150.8510583900,151.8422996400,150.8034788100,150.9144978300,1163463,222178053.0000,0.092618,0.073600,2
2015-10-08,sh.600519,157.6311485400,159.8515289400,156.2196210000,156.6319773600,3439179,684138048.0000,0.273777,3.788600,2
2015-10-09,sh.600519,157.6311485400,157.7263077000,155.8231245000,156.1799713500,1572174,310187696.0000,0.125153,-0.288600,2
2015-10-12,sh.600519,157.8056070000,162.1591385700,156.8936650500,157.0839833700,4903000,982174160.0000,0.390305,0.578800,2
2015-10-13,sh.600519,157.0839833700,158.6699693700,157.0839833700,157.5994288200,1575113,313495456.0000,0.125387,0.328100,2
2015-10-14,sh.600519,157.7897471400,158.2021035000,156.2275509300,156.8778051900,1521339,301666752.0000,0.121107,-0.457900,2
2015-10-15,sh.600519,157.1394928800,158.8920074100,156.6636970800,158.5906700700,1655013,329836768.0000,0.131748,1.091800,2
2015-10-16,sh.600519,159.5660514600,160.5017832000,158.1307341300,159.1854148200,1923843,386383072.0000,0.153148,0.375000,2
